id,time_point,age,gender,country,ethnicity,work_sector,area_of_exploration,affiliation,mindful_experi,mindful_style,plum_village_experi,training_experi,training_name_experi,retreat_binary,retreat_type,plum_village_practice,nature_binary,nature,plum_village_sangha,anxiety,anxiety_follow_up,boredom,boredom_follow_up,calm,calm_follow_up,connection,connection_follow_up,curiosity,curiosity_follow_up,despair,despair_follow_up,frustrations,frustrations_follow_up,joy,joy_follow_up,collaboration,collaboration_follow_up,competition,competition_follow_up,colleague_wellness_support,colleague_wellness_support_follow_up,community,community_post,community_follow_up,wellness_enhance_work,wellness_enhance_work_follow_up,retreat_fosters_collab_scientist_practitioners,retreat_fosters_collab_attendees,retreat_wellness_support_post,body_aware,body_aware_post,body_aware_follow_up,feelings_aware,feelings_aware_post,feelings_aware_follow_up,mind_aware,mind_aware_post,mind_aware_follow_up,perception_aware,perception_aware_post,perception_aware_follow_up,happy,happy_post,happy_follow_up,life_interest,life_interest_post,life_interest_follow_up,life_satisfaction,life_satisfaction_post,life_satisfaction_follow_up,society_contribution,society_contribution_post,society_contribution_follow_up,belonging,belonging_post,belonging_follow_up,society_good,society_good_post,society_good_follow_up,people_good,people_good_post,people_good_follow_up,society_makes_sense,society_makes_sense_post,society_makes_sense_follow_up,personality_satisfaction,personality_satisfaction_post,personality_satisfaction_follow_up,life_responsibility_management,life_responsibility_management_post,life_responsibility_management_follow_up,warm_trusting_relationship,warm_trusting_relationship_post,warm_trusting_relationship_follow_up,growth_opportunities,growth_opportunities_post,growth_opportunities_follow_up,confidence_ideas,confidence_ideas_post,confidence_follow_up,life_direction,life_direction_post,life_direction_follow_up
Participant 35,"pre, post, follow_up",36,Man,"Amsterdam, NL",White or European descent,"Academia, Education, community work","commoning, self-governance",NA,Very Experienced (5+ Years),"meditation, short ""here and now"" mindfulness, mindful eating, mindful walking, gratitude. Plum Village tradition specifically for 1 year",Yes,No,NA,No,NA,No,Yes,"I have a little tuin, also i help tending to a garden of a friend. There are several parks in my hood and I go there often",NA,Rarely,Never,Rarely,Never,Often,Often,Often,Often,Often,Often,Never,Never,Sometimes,Rarely,Often,Often,Often,Rarely,Rarely,Sometimes,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Sometimes,Often,Sometimes,Sometimes,Often,Often,Often,Often,Often,Rarely,Sometimes,Sometimes,Almost Every Day,Every Day,Almost Every Day,Almost Every Day,Every Day,Every Day,Almost Every Day,Every Day,Every Day,Every Day,Almost Every Day,Every Day,Almost Every Day,Almost Every Day,Almost Every Day,Never,Never,Never,About Once a Week,About 2 or 3 Times a Week,Once or Twice,Never,Never,Never,Almost Every Day,Every Day,Every Day,Every Day,Almost Every Day,Every Day,Every Day,Every Day,Almost Every Day,Every Day,Every Day,About 2 or 3 Times a Week,Almost Every Day,Every Day,Every Day,Every Day,Every Day,Every Day
Participant 36,pre,34,Woman,"Berlin, Germany",White or European descent,"Academia, Education, Science & Research, Literature & Arts","Literary Scholar, currently expanding my research towards psychoanalysis, spirituality & contemplative studies","(external) Doctoral Candidate, Humboldt-University Berlin",Moderate (2-3 Years),"MBSR (in the past); currently daily meditation, yoga, grounding practices, occassionally prayer",No,Yes,MBSR,Yes,"Vipassana Retreat, short introduction retreat to Zen-Buddhism & related Christian",Yes,Yes,"There is a park close to my house, but in general I wished I could be outdoors much more often and easily. Happy for the opportunities I get, however – e.g. all the lovely lakes around Berlin.",Wake Up Sangha,Sometimes,NA,Sometimes,NA,Often,NA,Rarely,NA,Always,NA,Sometimes,NA,Often,NA,Often,NA,Rarely,NA,Always,NA,Disagree,NA,Neutral,NA,NA,Neutral,NA,NA,NA,NA,Sometimes,NA,NA,Often,NA,NA,Often,NA,NA,Often,NA,NA,Almost Every Day,NA,NA,Every Day,NA,NA,Almost Every Day,NA,NA,Almost Every Day,NA,NA,Once or Twice,NA,NA,Once or Twice,NA,NA,Once or Twice,NA,NA,Never,NA,NA,Almost Every Day,NA,NA,Once or Twice,NA,NA,About Once a Week,NA,NA,Every Day,NA,NA,Almost Every Day,NA,NA,Every Day,NA,NA
Participant 37,pre,61,Woman,"Paris, France","Asian (e.g., East Asian, South Asian, Southeast Asian, Central Asian);, White or European descent","Academia, Education",Experiential education and sustainable development,Assistant Professor at the American University of Paris in anthropology and communication,Little (1-2 Years),I grew up in an spiritual intentional community so I have practiced meditation although it was not mindfulness as taught by Thay.,Yes,No,NA,No,NA,No,Yes,"There is a forest about a 25 min walk away and I go approximately 1 a week.  I know I need more time alone with the sounds and the colors of nature. I have always love trees, flowers and bees.",NA,Rarely,NA,Sometimes,NA,Rarely,NA,Sometimes,NA,Often,NA,Never,NA,Often,NA,Rarely,NA,Sometimes,NA,Sometimes,NA,Neutral,NA,Agree,NA,NA,Disagree,NA,NA,NA,NA,Sometimes,NA,NA,Often,NA,NA,Often,NA,NA,Rarely,NA,NA,Almost Every Day,NA,NA,Almost Every Day,NA,NA,About 2 or 3 Times a Week,NA,NA,About 2 or 3 Times a Week,NA,NA,About Once a Week,NA,NA,Once or Twice,NA,NA,About 2 or 3 Times a Week,NA,NA,Never,NA,NA,Almost Every Day,NA,NA,About Once a Week,NA,NA,Almost Every Day,NA,NA,About Once a Week,NA,NA,Almost Every Day,NA,NA,About Once a Week,NA,NA
Participant 38,"pre, post",34,Man,N/A - nomad,White or European descent,"Academia, Science & Research","Connecting complexity science and meditation, theology, contemplative studies","IGDORE, researcher",Very Experienced (5+ Years),"yoga, meditation, tantra, qi gong",No,No,NA,Yes,"Vipassana, Tibetan Buddhism, Zen",No,No,very unpredictable and not regular,NA,Often,NA,Never,NA,Sometimes,NA,Sometimes,NA,Often,NA,Sometimes,NA,Often,NA,Often,NA,Sometimes,NA,Rarely,NA,Agree,NA,Neutral,Disagree,NA,Neutral,NA,Neutral,Neutral,Neutral,Rarely,Often,NA,Often,Often,NA,Always,Often,NA,Rarely,Sometimes,NA,Every Day,Almost Every Day,NA,Every Day,Every Day,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,Almost Every Day,Almost Every Day,NA,About 2 or 3 Times a Week,About Once a Week,NA,About Once a Week,Once or Twice,NA,Almost Every Day,Almost Every Day,NA,Once or Twice,About 2 or 3 Times a Week,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,About Once a Week,Almost Every Day,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,Every Day,Every Day,NA,Almost Every Day,Every Day,NA,Almost Every Day,About Once a Week,NA
Participant 39,"pre, post",57,Woman,Amsterdam Netherlands,"White or European descent, Jewish","Academia, Healthcare","I am interested in non violent communication, mindful communication and the support for developing peace . I give workshops and lectures and sometimes publish about these and related subjects (reconciliation oa)",I have a private practice as a psychiatrist,Experienced (3-5 Years),"Méditation in sangha, short meditation at home, working meditation, following dharma talks (online, in retreats and sangha evenings). I sometimes pray according to Jewish tradition.",Yes,Yes,"MBSR but by a Buddhist teacher, an early and well known trainee of TN Hanh",No,NA,Yes,Yes,"River, countryside, by Cycling, not far","Welcoming Joy Sangha, Amsterdam Center. All ages, all themes",Rarely,NA,Never,NA,Often,NA,Often,NA,Often,NA,Never,NA,Rarely,NA,Often,NA,Often,NA,Rarely,NA,Agree,NA,Agree,Strongly Agree,NA,Agree,NA,Strongly Agree,Strongly Agree,Strongly Agree,Sometimes,Often,NA,Often,Often,NA,Always,Often,NA,Often,Sometimes,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,Almost Every Day,About 2 or 3 Times a Week,NA,About 2 or 3 Times a Week,About Once a Week,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,About Once a Week,About 2 or 3 Times a Week,NA,About 2 or 3 Times a Week,About Once a Week,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,About 2 or 3 Times a Week,About Once a Week,NA,Once or Twice,About Once a Week,NA,Never,Once or Twice,NA,Almost Every Day,Almost Every Day,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,About Once a Week,About Once a Week,NA
Participant 40,"pre, post",51,Woman,bay area usa,"Asian (e.g., East Asian, South Asian, Southeast Asian, Central Asian);","Business, Healthcare",NA,NA,Moderate (2-3 Years),"meditation, reflection, pilgrimages",Yes,No,NA,No,NA,Yes,Yes,parks and trails in mountains,bay area sanghas,Often,NA,Rarely,NA,Often,NA,Often,NA,Always,NA,Rarely,NA,Sometimes,NA,Often,NA,Often,NA,Often,NA,Strongly Agree,NA,Strongly Agree,Agree,NA,Strongly Agree,NA,Agree,Agree,Strongly Agree,Often,Often,NA,Often,Always,NA,Always,Always,NA,Often,Always,NA,Almost Every Day,Almost Every Day,NA,Almost Every Day,Almost Every Day,NA,Almost Every Day,Almost Every Day,NA,Every Day,Almost Every Day,NA,Every Day,Almost Every Day,NA,Almost Every Day,Almost Every Day,NA,Almost Every Day,Every Day,NA,Almost Every Day,Every Day,NA,Almost Every Day,Every Day,NA,Almost Every Day,Almost Every Day,NA,Every Day,Every Day,NA,Every Day,Every Day,NA,Almost Every Day,Every Day,NA,Every Day,Almost Every Day,NA
Participant 41,"pre, post",54,Woman,London,Mixed: Italian Turkish,Healthcare,Meditation,University of Derby,Very Experienced (5+ Years),Meditation and Mindfulness,Yes,Yes,I am a MBSR / MBCT teacher,Yes,"Vipassaba, Chan Buddhist with Dharma Drum Mountain",Yes,Yes,I live next door to Lower Hamlet Plum Village.,"Heart of London Sangha, Colours of Compassion Sangha.",Sometimes,Rarely,Rarely,Rarely,Often,Often,Often,Often,Sometimes,Sometimes,Never,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Always,Always,NA,NA,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Often,Often,Often,Often,Sometimes,Often,Almost Every Day,Almost Every Day,Almost Every Day,About 2 or 3 Times a Week,Almost Every Day,Almost Every Day,Almost Every Day,Almost Every Day,About 2 or 3 Times a Week,Almost Every Day,Almost Every Day,About 2 or 3 Times a Week,Almost Every Day,Almost Every Day,About 2 or 3 Times a Week,Almost Every Day,About 2 or 3 Times a Week,About 2 or 3 Times a Week,Almost Every Day,About 2 or 3 Times a Week,Almost Every Day,Once or Twice,Once or Twice,Almost Every Day,Every Day,Almost Every Day,About 2 or 3 Times a Week,Every Day,Almost Every Day,About 2 or 3 Times a Week,Every Day,Almost Every Day,Almost Every Day,About 2 or 3 Times a Week,About Once a Week,About 2 or 3 Times a Week,Almost Every Day,About 2 or 3 Times a Week,Almost Every Day,Every Day,Almost Every Day,About 2 or 3 Times a Week
Participant 42,"pre, post, follow_up",52,Man,"Gevona, Italy",White or European descent,Healthcare,NA,NA,Experienced (3-5 Years),NA,No,Yes,MBSR,No,NA,Yes,Yes,"Woods, 3 - 4 times a week",Sangha dei Carruggi (Genova),Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Often,Sometimes,Sometimes,Often,Often,Sometimes,Rarely,Agree,Neutral,Agree,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Often,Always,Often,Often,Often,Often,Often,Always,Often,Often,Often,Often,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About 2 or 3 Times a Week,Almost Every Day,Almost Every Day,About Once a Week,About 2 or 3 Times a Week,Almost Every Day,Never,About Once a Week,About 2 or 3 Times a Week,Almost Every Day,Almost Every Day,Almost Every Day,Never,Never,Never,Once or Twice,About Once a Week,About Once a Week,Never,Never,Never,About Once a Week,About Once a Week,About 2 or 3 Times a Week,Almost Every Day,Almost Every Day,Almost Every Day,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About 2 or 3 Times a Week,Once or Twice,About Once a Week,About 2 or 3 Times a Week,Once or Twice,About Once a Week,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About Once a Week,Almost Every Day
Participant 43,"pre, post",35,Woman,"Margate, UK",White or European descent,"Climate, Sci-fi writer, climate & AI researcher and campaigner",NA,NA,Very Little,"Sleep meditation, journalling",No,No,NA,No,NA,No,Yes,"The beach is about a 5 minute walk away, I try to visit it most days but it's hard when I'm stressed.",NA,Often,NA,Never,NA,Often,NA,Often,NA,Often,NA,Sometimes,NA,Often,NA,Rarely,NA,Often,NA,Always,NA,Disagree,NA,Agree,Agree,NA,Strongly Agree,NA,Agree,Neutral,Strongly Agree,Rarely,Often,NA,Often,Always,NA,Often,Often,NA,Sometimes,Often,NA,About 2 or 3 Times a Week,Almost Every Day,NA,About 2 or 3 Times a Week,Almost Every Day,NA,About Once a Week,Almost Every Day,NA,About 2 or 3 Times a Week,Almost Every Day,NA,Never,Almost Every Day,NA,Never,Never,NA,About Once a Week,Once or Twice,NA,Never,Once or Twice,NA,About 2 or 3 Times a Week,Almost Every Day,NA,About 2 or 3 Times a Week,Almost Every Day,NA,Almost Every Day,Almost Every Day,NA,Almost Every Day,Every Day,NA,Almost Every Day,Every Day,NA,About Once a Week,Almost Every Day,NA
Participant 44,pre,75,Man,London and Tokyo,"Asian (e.g., East Asian, South Asian, Southeast Asian, Central Asian);","Business, Healthcare",consciousness study,NA,Experienced (3-5 Years),Karma Kagyu and Dzogchen,No,No,NA,Yes,POL and Dzogchen,No,Yes,"Park, forest",NA,Never,NA,Never,NA,Often,NA,Often,NA,Always,NA,Never,NA,Rarely,NA,Often,NA,Often,NA,Sometimes,NA,Strongly Agree,NA,Agree,NA,NA,Agree,NA,NA,NA,NA,Often,NA,NA,Often,NA,NA,Often,NA,NA,Often,NA,NA,Almost Every Day,NA,NA,Almost Every Day,NA,NA,Almost Every Day,NA,NA,Almost Every Day,NA,NA,Every Day,NA,NA,Almost Every Day,NA,NA,Almost Every Day,NA,NA,Almost Every Day,NA,NA,Almost Every Day,NA,NA,Almost Every Day,NA,NA,Almost Every Day,NA,NA,Every Day,NA,NA,Every Day,NA,NA,Almost Every Day,NA,NA
Participant 45,pre,31,Man,"Ubatuba, Brasil",White or European descent,juridical,environmental law,NA,Little (1-2 Years),meditation,No,No,NA,No,NA,No,Yes,"I do have access a beach, mountains and camps and i have contact with this places every single day",NA,Rarely,NA,Rarely,NA,Always,NA,Always,NA,Always,NA,Never,NA,Never,NA,Always,NA,Often,NA,Sometimes,NA,Neutral,NA,Neutral,NA,NA,Agree,NA,NA,NA,NA,Often,NA,NA,Often,NA,NA,Often,NA,NA,Often,NA,NA,Almost Every Day,NA,NA,Almost Every Day,NA,NA,Almost Every Day,NA,NA,Almost Every Day,NA,NA,About 2 or 3 Times a Week,NA,NA,About 2 or 3 Times a Week,NA,NA,About 2 or 3 Times a Week,NA,NA,About 2 or 3 Times a Week,NA,NA,Every Day,NA,NA,Every Day,NA,NA,Almost Every Day,NA,NA,Every Day,NA,NA,Every Day,NA,NA,Every Day,NA,NA
Participant 46,"pre, post, follow_up",57,Woman,"Toronto, Canada",White or European descent,Healthcare,Registered Psychotherapist private practice and educator,"Toronto Institute for Relational Psychotherapy, director",Moderate (2-3 Years),"Plum village tradition. Daily meditation, daily practice",Yes,Yes,Mindfulness for Health Practitioners with John Kabitt-zin,Yes,Vipassana,Yes,Yes,"Parks and green space, every day",Grand River (Cambridge) Dharma River (mount forest) all in Ontario,Rarely,Rarely,Never,Rarely,Often,Often,Often,Often,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Often,Sometimes,Rarely,Sometimes,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Always,Often,Often,Always,Always,Often,Always,Often,Often,Always,Often,Often,Almost Every Day,Almost Every Day,Every Day,Every Day,Almost Every Day,Every Day,Almost Every Day,Almost Every Day,Almost Every Day,Every Day,Almost Every Day,Every Day,Every Day,About 2 or 3 Times a Week,Every Day,About Once a Week,About Once a Week,About 2 or 3 Times a Week,Almost Every Day,Almost Every Day,Every Day,About Once a Week,About Once a Week,About 2 or 3 Times a Week,Every Day,Every Day,Every Day,Almost Every Day,Almost Every Day,Almost Every Day,Every Day,Every Day,Every Day,Every Day,About 2 or 3 Times a Week,Every Day,Every Day,Almost Every Day,Every Day,Every Day,Almost Every Day,Every Day
Participant 47,pre,36,Man,"Cape Town, South Africa",White or European descent,Finance,Economic research,NA,Experienced (3-5 Years),"Meditation (walking and sitting), grounding practices, prayer, Plum Village and Christianity",Yes,No,NA,Yes,Vipassana and Transcendental Meditation (TM),No,Yes,"Beach, mountain, forest - everyday",NA,Sometimes,NA,Rarely,NA,Often,NA,Sometimes,NA,Often,NA,Never,NA,Sometimes,NA,Often,NA,Sometimes,NA,Often,NA,Neutral,NA,Agree,NA,NA,Agree,NA,NA,NA,NA,Sometimes,NA,NA,Often,NA,NA,Often,NA,NA,Sometimes,NA,NA,Almost Every Day,NA,NA,Almost Every Day,NA,NA,About 2 or 3 Times a Week,NA,NA,Almost Every Day,NA,NA,Once or Twice,NA,NA,Almost Every Day,NA,NA,Every Day,NA,NA,About Once a Week,NA,NA,Every Day,NA,NA,Every Day,NA,NA,Every Day,NA,NA,About 2 or 3 Times a Week,NA,NA,Almost Every Day,NA,NA,Every Day,NA,NA
Participant 48,pre,38,Woman,Spain,"Hispanic, Latino, or of Spanish origin",Healthcare,NA,NA,Experienced (3-5 Years),"Meditation, Conscious daily attention to spiritual concepts (compassion, patience, clarity, kindness and so on), yoga practice",Yes,No,NA,No,NA,No,Yes,I live in a house that´s surrounded by plants and a vegetable garden. The space is close by the mountain and fields of oranges. I´m daily in contact with nature,NA,Rarely,NA,Rarely,NA,Often,NA,Often,NA,Often,NA,Never,NA,Sometimes,NA,Often,NA,Often,NA,Sometimes,NA,Disagree,NA,Agree,NA,NA,Agree,NA,NA,NA,NA,Often,NA,NA,Often,NA,NA,Often,NA,NA,Often,NA,NA,About 2 or 3 Times a Week,NA,NA,Almost Every Day,NA,NA,Almost Every Day,NA,NA,Almost Every Day,NA,NA,About 2 or 3 Times a Week,NA,NA,About Once a Week,NA,NA,Almost Every Day,NA,NA,Once or Twice,NA,NA,Almost Every Day,NA,NA,Almost Every Day,NA,NA,Almost Every Day,NA,NA,About 2 or 3 Times a Week,NA,NA,About 2 or 3 Times a Week,NA,NA,Every Day,NA,NA
Participant 49,"pre, post",21,Non-binary,Toronto ON CA,White or European descent,"Academia, Science & Research, N/A, I'm a student and unfortunately unemployed at the moment","Cognitive science, cognitive psychology, contemplative science, Buddhist studies, phenomenology, qualitative methodology, neurodiversity/developmental disorders. Specific frameworks/theories within cog sci: predictive processing, relevance realization, 4E/enactive/embodied","University of Toronto, undergraduate in Psychology, Cognitive Science, BPMH",Little (1-2 Years),"I attend Wake Up Toronto which is a Plum Village Sangha. I try to meditate on my own but I have not been very consistent with it. When I do meditate it's either basic mindfulness of breathing (anapanasati) or metta practice. I also sometimes use the Plum Village app or try to do active meditations like mindful eating, dishwashing, walking.",No,Yes,"This doesn't fully count, I am not trained in MBSR or MSC but I took a course on mindfulness interventions that I ended up dropping and the in-class practice was based on MBSR and MBCT.",No,NA,Yes,Yes,"I like High Park and Brick Works. Don't go there super often, maybe once a month or less. There's a small park near my apartment that I walk through or sit in nearly every day.",Wake Up Toronto. Meant for people in 20s and 30s.,Often,NA,Sometimes,NA,Rarely,NA,Sometimes,NA,Often,NA,Sometimes,NA,Sometimes,NA,Sometimes,NA,Often,NA,Often,NA,Neutral,NA,Neutral,Agree,NA,Neutral,NA,Strongly Agree,Strongly Agree,Agree,Sometimes,Often,NA,Sometimes,Sometimes,NA,Sometimes,Sometimes,NA,Sometimes,Often,NA,Once or Twice,Once or Twice,NA,About Once a Week,About 2 or 3 Times a Week,NA,Once or Twice,Once or Twice,NA,About Once a Week,About Once a Week,NA,About Once a Week,About Once a Week,NA,Never,Never,NA,About 2 or 3 Times a Week,About Once a Week,NA,Never,Never,NA,Once or Twice,Once or Twice,NA,Never,Never,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,Almost Every Day,About Once a Week,NA,About 2 or 3 Times a Week,About Once a Week,NA,Once or Twice,Once or Twice,NA
Participant 50,"pre, post, follow_up",58,Man,"West Lafayette, Indiana, US",Middle Eastern or North African (MENA),"Academia, Business, Education, Information Technology, Science & Research",Artifician intelligence for small and medium manufacturing; nanotechnology,Professor and Associate Dean for Research at Purdue University,Very Little,Walking and breathing meditation,Yes,No,NA,No,NA,No,Yes,Local parks. I try to walk to work every day. It is about 1 to 1.5 hours and it goes through the city as well as crossing a nice river.,NA,Rarely,Sometimes,Never,Never,Sometimes,Often,Sometimes,Sometimes,Often,Often,Never,Never,Rarely,Rarely,Often,Often,Always,Always,Sometimes,Sometimes,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Rarely,Often,Rarely,Sometimes,Often,Sometimes,Always,Sometimes,Sometimes,Sometimes,Often,Sometimes,About 2 or 3 Times a Week,Almost Every Day,Almost Every Day,Almost Every Day,Every Day,Every Day,About 2 or 3 Times a Week,About 2 or 3 Times a Week,Almost Every Day,About 2 or 3 Times a Week,Almost Every Day,Every Day,Once or Twice,About Once a Week,About 2 or 3 Times a Week,Once or Twice,Never,Once or Twice,Almost Every Day,About 2 or 3 Times a Week,Almost Every Day,Never,Never,Never,About Once a Week,About 2 or 3 Times a Week,Almost Every Day,About 2 or 3 Times a Week,About 2 or 3 Times a Week,Almost Every Day,About 2 or 3 Times a Week,About 2 or 3 Times a Week,Almost Every Day,About Once a Week,About Once a Week,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About Once a Week,About 2 or 3 Times a Week,Almost Every Day,Almost Every Day,Almost Every Day
Participant 52,"pre, post",22,Woman,"Toronto, Canada",White or European descent,"Academia, Education, Science & Research",I study neuroscience and am part of a lab that is interested in exploring AI from the lens of neuroscience and Buddhism. I am personally very interested in the ways that Buddhism and neuroscience can inform and influence each other.,"Undergraduate student, University of Toronto",Very Little,"No regular practice, some experience with meditation and knowledge of the Buddhist/plum village philosophy",No,No,NA,No,NA,No,No,NA,NA,Often,NA,Sometimes,NA,Rarely,NA,Sometimes,NA,Often,NA,Sometimes,NA,Sometimes,NA,Rarely,NA,Sometimes,NA,Always,NA,Neutral,NA,Agree,Strongly Agree,NA,Disagree,NA,Strongly Agree,Strongly Agree,Strongly Agree,Sometimes,Often,NA,Often,Often,NA,Often,Often,NA,Sometimes,Often,NA,Almost Every Day,About 2 or 3 Times a Week,NA,Almost Every Day,About 2 or 3 Times a Week,NA,About 2 or 3 Times a Week,About Once a Week,NA,Once or Twice,Once or Twice,NA,Once or Twice,About Once a Week,NA,Never,Once or Twice,NA,About Once a Week,Once or Twice,NA,Never,Once or Twice,NA,Once or Twice,About Once a Week,NA,Never,About Once a Week,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,Once or Twice,About Once a Week,NA,About 2 or 3 Times a Week,About Once a Week,NA,Never,Once or Twice,NA
Participant 53,pre,47,Woman,France,White or European descent,Healthcare,NA,Doctor in Medecine,Very Experienced (5+ Years),"Mindfulness in daily life, méditation, deep relaxation, body scan, walking méditation, try to be in conscionsness",Yes,Yes,MBSR MBCT,Yes,"Soto zen retreat "" la Demeure sans limites """,Yes,Yes,I l'avenir at montains and there are two lakes very close to my house,Maison de l'inspir but now i relocate in mountains so with the plumapp,Sometimes,NA,Never,NA,Often,NA,Sometimes,NA,Often,NA,Sometimes,NA,Sometimes,NA,Often,NA,Often,NA,Rarely,NA,Neutral,NA,Agree,NA,NA,Agree,NA,NA,NA,NA,Often,NA,NA,Often,NA,NA,Often,NA,NA,Often,NA,NA,Almost Every Day,NA,NA,Every Day,NA,NA,Every Day,NA,NA,NA,NA,NA,Almost Every Day,NA,NA,About 2 or 3 Times a Week,NA,NA,Almost Every Day,NA,NA,About 2 or 3 Times a Week,NA,NA,Almost Every Day,NA,NA,Almost Every Day,NA,NA,Every Day,NA,NA,Almost Every Day,NA,NA,About 2 or 3 Times a Week,NA,NA,Almost Every Day,NA,NA
Participant 54,"pre, post",28,Woman,"Bamberg, Germany",White or European descent,Information Technology,NA,NA,Little (1-2 Years),I'm trying to meditate daily,Yes,No,NA,No,NA,No,Yes,A dense forest and I would go there two times a week,NA,Sometimes,NA,Often,NA,Rarely,NA,Sometimes,NA,Rarely,NA,Rarely,NA,Often,NA,Sometimes,NA,Sometimes,NA,Never,NA,Agree,NA,Strongly Disagree,Agree,NA,Disagree,NA,Agree,Strongly Agree,Agree,Rarely,Sometimes,NA,Sometimes,Often,NA,Often,Often,NA,Often,Sometimes,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,About Once a Week,Once or Twice,NA,Once or Twice,Once or Twice,NA,Never,Never,NA,Never,Once or Twice,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,Once or Twice,Once or Twice,NA,About 2 or 3 Times a Week,About Once a Week,NA,About Once a Week,Once or Twice,NA,Almost Every Day,About Once a Week,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,About Once a Week,About Once a Week,NA,About Once a Week,Once or Twice,NA
Participant 55,pre,43,Woman,Ispra italy,White or European descent,Science & Research,Cancer prevention,NA,None,None,No,No,Na,No,Na,No,Yes,Every day 2 walks in the forest- i have a dog. I have a big garden and my work was based in a forest territory,NA,Often,NA,Rarely,NA,Rarely,NA,Sometimes,NA,Often,NA,Sometimes,NA,Often,NA,Always,NA,Often,NA,Rarely,NA,Agree,NA,Agree,NA,NA,Agree,NA,NA,NA,NA,Sometimes,NA,NA,Rarely,NA,NA,Often,NA,NA,Sometimes,NA,NA,About Once a Week,NA,NA,About Once a Week,NA,NA,Once or Twice,NA,NA,Every Day,NA,NA,Almost Every Day,NA,NA,About 2 or 3 Times a Week,NA,NA,Almost Every Day,NA,NA,About Once a Week,NA,NA,Almost Every Day,NA,NA,About Once a Week,NA,NA,Almost Every Day,NA,NA,About 2 or 3 Times a Week,NA,NA,Every Day,NA,NA,Never,NA,NA
